ID,AGE,INCOME,SEX,MARRIED,FICO,OWNHOME
595865,44,54,M,1,694,0
1038701,,,,,719,
1158405,38,40,F,0,692,0
1365475,25,65,M,0,649,1
1446031,45,55,M,1,683,0
1522174,43,53,M,1,727,0
1641733,47,65,M,0,655,1
1796166,45,19,F,0,687,0
1866714,45,74,F,0,642,1
2384317,55,35,F,1,724,0
3210135,27,20,M,1,715,0
3395270,54,73,M,0,735,0
3470679,50,21,F,1,663,0
3615261,46,53,M,1,709,0
3631239,36,55,F,0,746,0
3757911,60,51,M,0,704,0
4181057,36,42,F,0,718,0
4436926,41,50,M,1,718,0
5038689,39,19,F,0,701,0
5156005,32,56,F,0,732,0
5231017,75,49,F,0,628,1
5434740,53,64,F,1,691,1
5527154,68,55,F,0,652,1
5858270,59,31,F,1,645,0
5908852,42,36,F,0,722,0
6253604,37,31,M,0,665,0
6432726,46,65,M,0,699,0
6854746,55,25,F,1,705,1
6896442,43,20,F,1,676,0
6935506,56,68,F,1,682,1
7137332,36,61,M,0,684,0
7290983,44,18,F,1,687,0
7291316,33,74,F,0,712,0
7298071,63,37,M,0,653,1
7323880,56,40,F,1,696,0
7329962,35,30,F,0,729,1
7412666,46,18,F,0,701,0
7437673,37,59,F,0,673,1
8347144,55,23,F,1,686,1
8448078,47,60,M,0,725,1
9723990,46,71,M,1,701,0
10170740,42,48,M,0,697,0
10212635,62,40,M,1,656,1
10380626,47,18,F,1,728,0
10614963,46,27,F,1,697,1
10715412,36,77,F,0,653,0
10739342,45,60,M,1,693,1
10954430,46,45,M,1,708,0
11369767,45,55,M,0,739,0
11811675,41,66,M,1,703,0
12070362,33,68,F,0,697,1
12233101,42,62,M,1,646,1
12265508,54,51,F,0,690,0
12319403,44,45,M,1,702,0
12637867,34,52,F,0,698,0
12787184,60,31,M,0,697,1
13115476,52,37,F,1,686,0
13194436,36,45,F,0,749,0
13342781,75,70,M,1,694,0
13690621,52,29,M,1,633,0
14146149,46,41,F,1,687,0
14430475,40,63,F,1,689,0
14516287,46,28,F,1,661,1
14632664,54,32,F,1,666,0
14694780,34,37,M,0,677,1
15267977,48,48,M,1,698,0
15305737,,,,,702,
15520835,37,66,M,0,701,1
15805010,38,54,F,0,706,0
15976301,40,24,F,1,717,0
16290662,32,56,F,1,669,0
16396973,37,47,M,0,661,0
17032405,45,70,M,0,728,0
17040504,37,30,F,0,752,0
17521213,42,42,M,1,714,0
17535689,35,49,F,0,657,0
17589077,37,59,M,0,716,1
17678701,35,49,M,0,662,1
17950846,30,53,M,0,673,0
18003254,42,33,M,0,734,1
18538669,18,63,F,1,696,0
18807639,32,58,F,0,763,1
18885763,42,16,M,1,680,0
19580334,53,57,F,1,703,1
19646709,35,36,M,0,700,1
